source,concept,description
https://www.raunt.com/sss,Raunt nedir?,"Raunt, üniversite sınavlarına hazırlanan adayların hedeflerine ulaşmaları ve lise öğrencilerinin ders ve sınav başarılarını artırmaları için tasarlanmış, Türkiye’nin ilk ve tek kişiye özel üniversiteye hazırlık çözümüdür. Bir adayın üniversite sınavlarına en etkin şekilde hazırlanması için ihtiyacı olan tüm unsurları tek bir çözümde sunar. Raunt zekâsı, kullanıcısını yakından tanıyıp yönlendirir. Akıllı Öneri Sistemi’yle eksiklerini zamanında tamamlamasını sağlar ve performansını sürekli takip eder. Bu benzersiz özellikler, bütünleştirilmiş dijital ve basılı içeriklerle desteklenerek öğrenciyi/mezunu adım adım hedefine ulaştırır.Raunt, üniversiteye hazırlıkta bugüne kadar sunulan en yenilikçi ve sonuç odaklı çözüm olarak, iddialı bir dershanenin öğretme ve test programını; özel ders öğretmeninin öğrenci üzerindeki dikkatini, takibini ve birebir ilgisini; deneyimli bir rehberlik uzmanının yönlendirmelerini ve Türkiye’nin en güçlü yayınevlerinden Palme ve Limit’in üniversiteye hazırlık kitaplarını tek bir sette birleştirip kullanıcılarının evine getirir."
https://www.raunt.com/sss,Kimler içindir?,"Raunt, tüm üniversite adayları ve tüm lise öğrencileri içindir. ,Üniversiteye hazırlanan, ,Daha önce yerleşememiş olan, ,Mezun olup yeniden sınava giren, ,Daha çok istediği bir bölüme ve üniversiteye yerleşmek isteyen, ,Başarılı olmak, iyi bir üniversite eğitimi almak, gelecek hedeflerine ulaşmak isteyen,,Üniversite sınavlarına akılcı bir yoldan hazırlanmak isteyen herkes ve...,Okul derslerinde başarılı olmak, temellerini güçlendirmek,,Okul sınavlarında notlarını yükseltmek isteyen 9, 10, 11,12. Sınıf öğrencileri için çözümler sunar.,"
https://www.raunt.com/sss,Kimin ürünüdür?,"Raunt, 32 yıllık araştırma geliştirme deneyimiyle, eğitim teknolojilerinde Türkiye’nin lider eğitim şirketi Sebit tarafından geliştirilmiştir. Aynı zamanda Vitamin, Lisego, Hızlıgo, Adaptive Curriculum, DinamikMAT gibi eğitim çözümlerinin de üreticisi olan Sebit, Türk Telekom’un yüzde yüz iştirakli grup şirketidir ve çalışmalarını Ankara ODTÜ Teknokent’teki yerleşkesinde sürdürmektedir.Raunt, Türkiye’nin üniversiteye hazırlıkta en güçlü yayınevlerinden Palme ve Limit’le güçlerini birleştirmiş ve bu gücü Raunt setinde ortaya koymuştur."
https://www.raunt.com/sss,Raunt sınav sistemindeki değişikliklere uyum sağlıyor mu?,"“Dijital Raunt Zekâsı”, sınav sistemindeki değişikliklerden etkilenmeyecek kadar sağlam temeller üzerinde kurgulandığından, tüm yeni düzenlemeler anında ürüne adapte edilebilmektedir.Talim ve Terbiye Kurulu Başkanlığı, üniversiteye giriş sınavları kapsamını öğretim yılı içerisinde açıklamaktadır. Bu açıklamaları yakından takip ederek gerekli güncellemeleri sistemine yansıtmak da Raunt’un öncelikli hassasiyetidir.Sınav kapsamı, açıklandıktan hemen sonra dijital Raunt’un konu anlatımlarına, test ve deneme sınavları sorularına uyarlanır. Konu hakkındaki bilgilendirmeler ise kullanıcılarımıza en doğru zamanlamayla iletilir.Kapsam dışında bırakılan konu ya da bilgi parçaları, sınavda soru çıkmayacak konular Raunt’ta işaretlenir. Bu konudaki prensibimiz; bütünsel bir öğrenme deneyimi yaşamak isteyen kullanıcılarımızın beklentilerini eksik bırakmamak için ilgili yerleri tamamen sistemden çıkarmamak yönündedir. Bir başka deyişle, Raunt çalışma konusu olarak önermeyecek ancak dileyen öğrenci kendi inisiyatifiyle çalışabilecek, sınavlarda ise bu konulardan sorumlu tutulmayacaktır.Raunt’la tüm kullanıcılarımız, sınav sistemindeki değişikliklerden etkilenmeden çalışmalarına devam edebileceklerinden emin olabilirler."
https://www.raunt.com/sss,Kullanmak için herhangi bir okulda kayıtlı öğrenci olmak gerekiyor mu?,"Hayır, gerekmiyor. Özel okullarda kurumsal kullanımı da mevcut olmakla birlikte, Raunt bireysel bir üründür"
https://www.raunt.com/sss,Bilgisayar programıyla böyle hayati bir sınava hazırlanılır mı?,"Eğer bu program; çözdüğün testlerdeki doğru/yanlış ve boş cevaplarından bir eksik analizi çıkararak, geliştirmen gereken noktalar hakkında sana bilgi veriyorsa ve sana özel bir ders çalışma planı hazırlayarak çalışmanı organize ediyorsa, elbette hazırlanılır. Raunt, seni sistemdeki ilk adımınla birlikte yönlendirmeye başlar, yaptığın tercihler doğrultusunda hedeflerini oluşturur ve seni ana hedefine ulaşana dek yalnız bırakmaz. Hayalindeki üniversiteyi ve bölümü kazanman için sana, gün gün neyi, ne kadar çalışman gerektiğini bildiren, kişiselleştirilmiş bir çalışma planı hazırlar. Sınava kadar tüm zamanını en verimli şekilde değerlendirmeni sağlar. Süreç içerisinde performansını sürekli takip eder, mevcut durumuna dair geri bildirimler sunar ve çalışma planını, gerektiğinde hedeflerini günceller. Başka bir deyişle, başarıya doğru sana özel bir yol haritasıyla ilerlemeni sağlar.Üstelik, Raunt klasik çalışma alışkanlıklarını sürdürmek isteyenler için testler, fasiküller ve soru bankalarından oluşan zengin basılı içerikler de sunar. Böylece ekranda gördüğün soruyu kitapta görerek, üzerine notlar alarak çözebilir, çözemediysen videosundan nasıl çözülmesi gerektiğini öğrenebilirsin.Kişiye özel yapısı, eksikleri zamanında tamamlamayı sağlayan Akıllı Öneri Sistemi, basılı içerikle dijital içeriği bütünleştiren özellikleriyle yeni nesil üniversiteye hazırlık ürünü olan Raunt’un gelişmiş teknolojisi sayesinde;,Hedefine ulaşman yolunda gelişiminin sürekli gözlemlenmesiyle oluşturulan akıllı çalışma stratejileriyle adım adım ilerlersin.,Deneme sınavlarındaki performansına göre güncellenen, hedeflerine/tespit edilen eksiklerine göre yenilenen çalışma planlarıyla ilerlemeye devam edersin.,Zamanın, bir takvim üzerinde, senin için titizlikle planlanan şekilde, senin adına yönetilir. Ne zaman, neyi, hangi derinlikte çalışacağını bilirsin.,Eksiklerin zamanında tespit edilir. Hızla tamamlaman için hedef odaklı çalışmaya yönlendirilirsin.,"
https://www.raunt.com/sss,Raunt tek başına yeterli mi?,"Evet, kesinlikle yeterli! Ancak her gün düzenli olarak çalışmak, Raunt’un yönlendirmelerini adım adım uygulamak koşuluyla...Adayların lise sürecinde öğrenmeleri beklenen konulardan soruların sorulduğu YKS, zorlu olduğu kadar; düzenli çalışanlar, Raunt gibi çok net bir yol haritasını izleyip uygulayanlar için aşılması bir o kadar kolay bir dönemeç.  Üniversite sınavlarına tek başına hazırlanan öğrenciler için benzersiz bir yol arkadaşı olan Raunt; Türkiye’nin üniversiteye hazırlıkta en deneyimli hocalarını, binlerce soruyu ve çözümünü, hangi konuda eksiğin olduğunu, eksiklerini giderme yollarını, merkezî sınava en yakın sorularla düzenlenen ve en yakın sonuçları veren deneme sınavlarını, geçmiş yıllarda sorulan sınav sorularını ve çözümlerini, hızlı tekrarlar için özet dokümanları, performans takibini, hedefine ne kadar yolun kaldığını ve ulaşmak için neler yapman gerektiği bilgisini, kısacası hayalindeki üniversite ve bölüme girebilmen için gereken her şeyi tek bir sette birleştirip parmağının ucuna kadar getiriyor. "
https://www.raunt.com/sss,Sınava hazırladığını iddia eden birçok dijital kaynak var. Raunt’un farkı nedir?,"Raunt, internet üzerinden ders çalışman için sadece içerik sağlamaz, tüm üniversiteye hazırlık sürecinde sana; adım adım yönlendiren bir eğitim koçu, yol arkadaşı gibi eşlik eder, sen kazanana kadar yanından hiç ayrılmaz.Türkiye’de, üniversiteye hazırlık sürecinin başından sonuna kadar benzersiz bir rehberlik hizmeti, kişiselleştirilmiş bir zaman ve çalışma planlaması ve bunun yanı sıra zengin içerik sunabilen başka bir ürün henüz yoktur.,Akıllı Öneri Sistemi sayesinde eksiklerini kolaylıkla tamamlayarak ilerlemeni sağlar.,Bütünleştirilmiş dijital ve basılı içeriklerle sana özel testler ve ""Eksiklerim"" listesi oluşturur.,Farklı tipte 235 binden fazla sorunun çözüm videosu, her tip soruya ve çözüm yollarına hâkim olmanı sağlar.,Sana, “Sıfırdan Çalış”, “Eksiklerimi Gider” ve “Testlere Yüklen” olmak üzere üç farklı çalışma stratejisi sunar. Her derste seviyene uygun bir çalışma programıyla çalışarak zamanını en iyi şekilde değerlendirmeni sağlar.,Üniversiteye hazırlıkta Türkiye’nin en deneyimli hocalarının videolarıyla özel dersleri evine getirir.,Bilgisayar, tablet ve Raunt Cep Uygulaması’yla istediğin her an her yerden çalışabilme olanağı sunar.,Raunt Deneme Sınavları, merkezi sınav öncesi gerçek sınav deneyimi yaşatır.,Tüm testlerin ve deneme sınavlarının sonuçlarını analiz ederek, hedefine ne kadar yaklaştığını bildirir.,"
https://www.raunt.com/sss,Peki ya başlangıçta belirlediğim hedefime çok uzaksam?,"Raunt senin Konu Kavrama Testleri, Tarama Testleri ve Deneme Sınavı performanslarını değerlendirdiğinde eğer hedeften ciddi sapmalar tespit ederse, seni zamanında uyararak bir sonraki hedefine yönlendirir. Ya da ilk hedefine ulaşabilmen için sana farklı çalışma stratejileri sunarak ilerlemeni hızlandırır. Diğer bir deyişle, Raunt’la rota yeniden oluşturulur. :)"
https://www.raunt.com/sss,"Hocaların birikimi, anlatımı ve sunulan içerik güvenilir mi?","Raunt’un akıcı konu anlatım ve soru çözüm videolarını hazırlayan hocalarımızın tümü alanlarında uzman, özellikle üniversiteye hazırlıkta yılların deneyimiyle isim yapmış çok değerli eğitimcilerdir. Bununla birlikte, hocalarımızın Türkiye’nin lider eğitim şirketi Sebit bünyesinde çalışmaları da yeterince önemli bir referanstır."
https://www.raunt.com/sss,Raunt’u kullanmak için bilgisayara program kurmam gerekiyor mu?,"Hayır. Raunt tamamen internet üzerinden kullanılır. Dolayısıyla, internet bağlantısının olduğu her yerde Raunt‘la çalışabilirsin."
https://www.raunt.com/sss,Aileler neden Raunt’u seçer?,"Raunt’un yönlendirmelerini başından sonuna kadar eksiksiz izleyerek tüm önerilerini yerine getiren üniversite adayı için Raunt tek başına yeterlidir. Raunt’la aileler, çocuklarının başka kaynaklara, özel derslere ya da üniversite yolunda destekleyici kurumlara gerek duymaksızın konsantre bir şekilde çalıştığından emin olur, yanı sıra farklı çözümler için bütçe ayırmak zorunda kalmaz."
https://www.raunt.com/sss,Raunt hangi internet tarayıcılarını desteklemektedir?,"Kusursuz bir Raunt deneyimi için, internet tarayıcının en güncel versiyonunu kullanmalısın. Raunt; Microsoft Internet Explorer ve Google Chrome tarayıcılarının en üst versiyonlarını desteklemektedir. Tarayıcının son versiyonunu, yazılımcı firmaların resmî sitelerinden ücretsiz olarak indirebilirsin."
https://www.raunt.com/sss,Raunt Cep Uygulamasını nasıl kullanabilirim?,Raunt'un iOS ve Android cep telefonları için özel cep telefonu uygulaması vardır. İlgili uygulamayı indirmek için aşağıdaki linklerden uygun olanına tıklayabilirsin.IOS Raunt Cep UygulamasıAndroid Raunt Cep UygulamasıIOS Raunt Tablet UygulamasıAndroid Raunt Tablet Uygulaması
https://www.raunt.com/sss,Nasıl kayıt olurum?,"Satın almış olduğun Raunt setinde yer alan basılı yayın paketinin adresine teslimi ve ürüne giriş yapabilmen için öncelikle mutlaka www.raunt.com’dan ürün aktivasyonunu gerçekleştirmen gerekiyor. Nasıl mı?Ürünü online olarak aldıysan, satın alma işlemlerinin hemen ardından karşına çıkan yönergeleri izleyerek kayıt işlemini de tamamlayabilirsin."
https://www.raunt.com/sss,Raunt’u Türk Telekom bayisinden satın aldım. Nasıl kayıt olurum?,"Satın almış olduğun Raunt setinde yer alan basılı yayın paketinin adresine teslimi ve ürüne giriş yapabilmen için öncelikle mutlaka www.raunt.com’dan ürün aktivasyonunu gerçekleştirmen gerekiyor. Nasıl mı?,www.raunt.com ana sayfasının sağ üst köşesinde göreceğin Türk Telekom Kullanıcı İşlemleri alanına tıkla.,Türk Telekom Tek Şifre’ni al.,İlgili alanları doldurarak “Devam”a tıkla,T.C. Kimlik Numaranı gir. Kullanıcı adın da TCKN’ndir.,Sınıfını ve Raunt paketini seç.,Öğrenci Kayıt Formu’nda ilgili alanları doldur ve “Kayıt İşlemini Tamamla” düğmesine tıkla.,Raunt paketinin adresine teslimi için ilgili alanlara adres bilgilerini gir.,Bu aşamada kayıt işlemlerin tamamlanmış olacaktır.,Hemen ardından sana SMS’le gönderilen Kullanıcı Adı ve Şifre bilgilerinle www.raunt.com “Giriş” alanına tıklayarak ürünü hemen kullanmaya başlayabilirsin.,"
https://www.raunt.com/sss,Raunt kitapları ne zaman elime geçer?,"Yeni eğitim öğretim yılına ait YKS Setleri ağustos ayı sonunda, 9-10-11. Sınıf Raunt Setleri  ise eylül ayı ortasında kargolanmaktadır.Kitap setlerimizin kargolanma süreciyle ilgili bilgiler “Paketler” sayfasında yer almaktadır, erken sipariş verenlere öncelik tanınacaktır. Ürünler kargoya verildikten sonra SMS’le iletilecek takip numarasıyla kargo sürecini takip edebilirsin.Dijital Raunt ise 9, 10, 11, 12. sınıf ve mezunlar olmak üzere tüm kategorilerde satın aldığın andan itibaren kullanımına açılacaktır. Kitaplarını beklemeden de test çözebilir, soru çözümlerini ve hocalarımızın ders anlatım videolarını izleyebilirsin."
https://www.raunt.com/sss,Canlı deneme sınavlarına nasıl girebilirim?,"Raunt Deneme Sınavları, gerçek sınav deneyimi yaşatması ve Raunt’un, bundan sonraki çalışmalarını yönlendirmesi açısından büyük önem taşımaktadır. Tarihleri önceden sizlere bildirileceği üzere TYT Cuma, AYT ise Cumartesi günleri uygulamaya açılır.  İlk gün içinde sınava giren kullanıcılar Türkiye sıralamasına dâhil edilir. Daha sonra girenlerin sıralaması ise puan yakınsamasıyla, yaklaşık olarak tespit edilir.Sınav esnasında soruları tek tek görüntüleyerek cevapları işaretleyebilir ya da sınavı yazdırarak önce kâğıtta çözüp, sonra cevaplarını sisteme girebilirsin. Tüm bu işlemleri, sınavın sağ üstünde yazan toplam süre ve kalan süreyi dikkate alarak yapman gerektiğini hatırlatmak isteriz.Sınavı bitirmek istediğinde, cevaplamadığın soru sayısı ve sınavın kalan süresi hakkında bilgilendirme ekranı açılacaktır. İster sınava dönüp boş bıraktığın soruları tekrar gözden geçirebilir, istersen de sınavı bitirebilirsin. Cevaplamayıp boş bıraktığın sorular olmasına rağmen sınavı yine de bitirmek istersen, ara verme seçeneği önerilecektir. Gerçek bir sınav deneyimi olması adına tavsiyemiz ara vermemen yönündedir ancak boş bıraktığın soruları daha sonra çözebileceğini düşünüyorsan, bu seçeneği de değerlendirebilirsin.Her deneme sınavı değerlendirmesinden sonra hedefine ne kadar yakın ya da uzak olduğunu görebilir, sınav sonuçlarını, puanını, Türkiye sıralamanı ve sınavdaki performansınla oluşturulan eksik listelerini Raunt’tan öğrenebilirsin."
https://www.raunt.com/sss,Raunt hakkında detaylı bilgiye nereden ulaşabilirim?,Raunt hakkında detaylı bilgiye ulaşabilmek için 444 54 73 (LISE) numaralı telefondan Raunt Destek Hattı’nı arayarak bizimle iletişime geçmen yeterlidir.Dilersen biz de seni arayarak bilgilendirebiliriz. Bilgi formu için lütfen tıkla.
