source,concept,description
SQuAD Dataset,Meryem Ana'nın 1858'de Lourdes Fransa'da kime göründüğü iddia edildi?,Saint Bernadette Soubirous
SQuAD Dataset,Notre dame Scholastic Dergisi ne zaman yayınlanmaya başladı?,Eylül 1876
SQuAD Dataset,Notre Dame'deki günlük öğrenci makalesine ne denir?,Gözlemci
SQuAD Dataset,Notre Dame'da kaç tane öğrenci haber makalesi bulundu?,üç
SQuAD Dataset,Common Sense öğrenci notu hangi yılda Notre Dame'de yayınlanmaya başladı?,1987
SQuAD Dataset,Kutsal Haç Cemaati'nin merkezi nerede?,Roma
SQuAD Dataset,Kutsal Haç Cemaati'nin ilk semineri nedir?,Moreau Semineri
SQuAD Dataset,Notre Dame'deki Fatima House'da hangi kişiler yaşıyor?,Emekli rahipler ve kardeşler
SQuAD Dataset,Frederick Buechner hangi ödülü yarattı?,Buechner Vaaz Ödülü
SQuAD Dataset,Notre Dame Mühendislik Koleji'nde kaç lisans derecesi derecesi sunulmaktadır?,sekiz
SQuAD Dataset,Notre Dame Mühendislik Koleji hangi yılda kuruldu?,1920
SQuAD Dataset,"Mühendislik Fakültesi'nin oluşturulmasından önce, hangi Notre Dame kolejinde benzer çalışmalar yapıldı?",Fen Fakültesi
SQuAD Dataset,Stinson-Remick Mühendislik Salonu'nda kaç bölüm var?,beş
SQuAD Dataset,"Fen Fakültesi, Notre Dame'den hangi saatte başlayarak inşaat mühendisliği dersleri vermeye başladı?",1870'ler
SQuAD Dataset,Notre Dame'de kaç lisans öğrencisi var?,beş
SQuAD Dataset,Notre Dame'de ilk olarak bir Master of Arts kurdu?,1854
SQuAD Dataset,Joan B. Kroc Uluslararası Barış Çalışmaları Enstitüsü hangi yılda kuruldu?,1986
SQuAD Dataset,John B.Kroc kiminle evlendi?,Ray Kroc
SQuAD Dataset,Ray Kroc hangi şirkete sahipti?,McDonald
SQuAD Dataset,Notre Dame'deki ana kütüphane kaç katlıdır?,14
SQuAD Dataset,Notre Dame'deki ana kütüphanenin adı nedir?,Theodore M. Hesburgh Kütüphanesi
SQuAD Dataset,Notre Dame'deki Theodore M. Hesburgh Kütüphanesi hangi yılda bitti?,1963
SQuAD Dataset,2015 sonbaharında öğrencilerin yüzde kaçı Notre Dame'a kabul edildi?,% 19.7
SQuAD Dataset,Notre Dame'deki öğrencilerin yüzde kaçı Erken Eylem programına katıldı?,% 39.1
SQuAD Dataset,Notre Dame'deki ortalama bir öğrenci orada çalışmak için kaç kilometre seyahat ediyor?,750 milden fazla
