concept,description,source
Şifremi unuttum. Telefondan bilgilerimi vererek şifre alabilir miyim?,"Telefon üzerinden şifre verme uygulamamız yoktur. Şifrenizi, bulunduğunuz ildeki ÖSYM Sınav Koordinatörlüğünden ya da Sınav Koordinatörlüğü yetkisi olan Başvuru Merkezlerinden (Ortaöğretim Kurumları) alabilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/1"
Sınava başvuru tarihlerini öğrenebilir miyim?,www.osym.gov.tr adresinden ilgili yıla ait sınav takviminden öğrenebilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/2"
Sınava başvuru şartlarını öğrenebilir miyim?,"İlgili sınavın başvuru kılavuzunu inceleyiniz. Kılavuzlar, www.osym.gov.tr adresinde yer almaktadır.","https://www.osym.gov.tr/TR,8808/genel.html/3"
Sınava ait başvuru kılavuzunu nerden edinebilirim? Kılavuzun satışı yapılıyor mu?,ÖSYM’nin İnternet sayfasından ilgili sınava ait kılavuza ulaşabilirsiniz. Başvuru kılavuzunun satışı yapılmamaktadır.,"https://www.osym.gov.tr/TR,8808/genel.html/4"
Başvuru ücretini öğrenebilir miyim?,İlgili sınava ait başvuru kılavuzundan bakabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/5"
Sınav ücretini hangi bankalardan yatırabilirim?,"Sınava ait başvuru kılavuzundan, ücret yatırabileceğiniz bankaları öğrenebilirsiniz. ","https://www.osym.gov.tr/TR,8808/genel.html/6"
"Sınavın kapsamı, süresi, soru sayısı, saati hakkında bilgi alabilir miyim?",Bu tür bilgilere ilgili sınava ait kılavuzdan ulaşabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/7"
"Soyadım değişti, bilgilerimi nasıl güncelleyebilirim?",Aday işlemleri sisteminden “kimlik bilgilerimi“ güncelle linkinden değişiklik yapabilirsiniz. ,"https://www.osym.gov.tr/TR,8808/genel.html/8"
"Sürekli bir engelim yok, sonradan oluştu. Sağlık raporunu ne zamana kadar gönderebilirim ve nasıl göndermem gerekir?",Sınavın yapılacağı hafta çarşamba günü saat 17.00’ye kadar ÖSYM’ye posta ya da kargoyla gönderebilirsiniz. Fax kabul edilmemektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/9"
Sınava hangi belgelerle gideceğim?,Nüfus cüzdanı veya süresi geçerli bir pasaportunuz ve sınav giriş belgeniz ile sınava girmeniz gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/10"
