,text
0,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Şifremi unuttum. Telefondan bilgilerimi vererek şifre alabilir miyim?[/INST] Telefon üzerinden şifre verme uygulamamız yoktur. Şifrenizi, bulunduğunuz ildeki ÖSYM Sınav Koordinatörlüğünden ya da Sınav Koordinatörlüğü yetkisi olan Başvuru Merkezlerinden (Ortaöğretim Kurumları) alabilirsiniz.</s>"
1,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınava başvuru tarihlerini öğrenebilir miyim?[/INST] www.osym.gov.tr adresinden ilgili yıla ait sınav takviminden öğrenebilirsiniz.</s>
2,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınava başvuru şartlarını öğrenebilir miyim?[/INST] İlgili sınavın başvuru kılavuzunu inceleyiniz. Kılavuzlar, www.osym.gov.tr adresinde yer almaktadır.</s>"
3,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınava ait başvuru kılavuzunu nerden edinebilirim? Kılavuzun satışı yapılıyor mu?[/INST] ÖSYM’nin İnternet sayfasından ilgili sınava ait kılavuza ulaşabilirsiniz. Başvuru kılavuzunun satışı yapılmamaktadır.</s>
4,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Başvuru ücretini öğrenebilir miyim?[/INST] İlgili sınava ait başvuru kılavuzundan bakabilirsiniz.</s>
5,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav ücretini hangi bankalardan yatırabilirim?[/INST] Sınava ait başvuru kılavuzundan, ücret yatırabileceğiniz bankaları öğrenebilirsiniz.</s>"
6,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınavın kapsamı, süresi, soru sayısı, saati hakkında bilgi alabilir miyim?[/INST] Bu tür bilgilere ilgili sınava ait kılavuzdan ulaşabilirsiniz.</s>"
7,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Soyadım değişti, bilgilerimi nasıl güncelleyebilirim?[/INST] Aday işlemleri sisteminden “kimlik bilgilerimi“ güncelle linkinden değişiklik yapabilirsiniz.</s>"
8,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sürekli bir engelim yok, sonradan oluştu. Sağlık raporunu ne zamana kadar gönderebilirim ve nasıl göndermem gerekir?[/INST] Sınavın yapılacağı hafta çarşamba günü saat 17.00’ye kadar ÖSYM’ye posta ya da kargoyla gönderebilirsiniz. Fax kabul edilmemektedir.</s>"
9,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınava hangi belgelerle gideceğim?[/INST] Nüfus cüzdanı veya süresi geçerli bir pasaportunuz ve sınav giriş belgeniz ile sınava girmeniz gerekmektedir.</s>
10,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Başvuru merkeziyim, sistemim hata veriyor. Nasıl yardımcı olabilirsiniz?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>"
11,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınavlarda görev almak istiyorum ne yapmalıyım?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>
12,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınava giriş belgemi nasıl alacağım?[/INST] Aday işlemleri sisteminden sınava giriş belgenizi edinebilirsiniz.</s>
13,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Başvuru esnasında yanlışlıkla fotoğraf başkasına bilgiler başkasına ait olarak kayıt yaptık bunun düzeltilmesi mümkün mü?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>
14,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Bir başkası benim adıma şifre alabilir mi?[/INST] Sınav koordinatörlükleri veya sınav koordinatörlüğü yetkisi olan başvuru merkezlerinden şahsen nüfus cüzdanınızla şifre alabilirsiniz.</s>
15,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Başörtülü fotoğraf çektirebilir miyim?[/INST] Fotoğraf, adayın fiziksel olarak tanınmasını sağlayacak nitelikte olmalıdır. Tanınabilir bir şekilde başörtülü çektirebilirsiniz.</s>"
16,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Nüfus cüzdanımı kaybettim sınava girebilecek miyim? Ehliyetim sınava girebilmem için yeterli mi?[/INST] Güvenlik tedbirleri dolayısı ile nüfus cüzdanınız veya süresi geçerli pasaportunuz dışında bir kimlikle sınava giremezsiniz.</s>
17,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Giriş belgemde yazılı olan okul verilen adreste yok. Ne yapmalıyım?[/INST] Bu durumu İl/İlçe Sınav Merkezi Koordinatörlüğüyle görüşebilirsiniz.</s>
18,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Yurt dışında sınava girebilir miyim?[/INST] Yurt dışında sınav uygulamamız yok.</s>
19,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>İki tane lisans diplomam var KPSS ye her ikisiyle de başvuru yapabilir miyim?[/INST] 2014 yılı itibarıyla birden fazla eğitim bilgisi ekletebilir, tercihlerde de kullanabilirsiniz.</s>"
20,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sonuçlar ne zaman açıklanacak?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki duyurular ve sonuçlar kısmından takip edebilirsiniz.</s>
21,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Cevap kâğıdıma adımı, soyadımı ya da T.C kimlik numaramı kodlamayı unuttum, ne yapabilirim?[/INST] Bu durumla ilgili, merkezimize genel amaçlı bir dilekçe gönderebilirsiniz.</s>"
22,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav esnasında hakkımda tutanak tutuldu, sınavım geçersiz olur mu?[/INST] Sonuçların açıklanmasını beklemeniz gerekmektedir.</s>"
23,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav esnasında gözetmenle sorun yaşadım. Şikâyet etmek istiyorum, nasıl yapacağım?[/INST] Merkezimize bu konuyla ilgili bir dilekçe gönderebilirsiniz.</s>"
24,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav soru ve cevapları ne zaman açıklanacak?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki Duyurular kısmından takip etmeniz gerekmektedir.</s>
25,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav salonunda saat yoktu. Neden adaylara saat dağıtılmıyor?[/INST] Bu konuyla ilgili şikâyet ve isteklerinizi Merkezimize dilekçeyle bildirebilirsiniz.</s>
26,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav sonuç belgesi tarafımıza gönderilecek mi?[/INST] Sınav sonuç belgeleri postalanmamaktadır, ÖSYM’nin İnternet sayfasından sonuç belgesini edinebilirsiniz.</s>"
27,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Geçmiş yıllara ait sınav sonuç belgesi almak istiyorum, ne yapmalıyım?[/INST] ÖSYM’nin İnternet sayfasındaki sonuçlar bölümünden T.C. kimlik numaranız ve şifrenizle edinebilirsiniz veya bir dilekçe ile ÖSYM’den talep edebilirsiniz. Ankara’da bir yakınınız varsa sizin adınıza evrak referans numaranızla ÖSYM’den alabilir.</s>"
28,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav puanım beklediğimden düşük geldi, ne yapabilirim?[/INST] Sınav sonucunuzun yeniden değerlendirilmesi için itiraz süresi içerisinde ÖSYM’ ye incelenme masrafları için 5 TL yatırmış olduğunuz banka dekontu ve genel amaçlı dilekçe ile başvurmanız gerekmektedir.</s>"
